SystemCodeNumber,Capacity,Occupancy,LastUpdated,Vacant,OccupancyRate
BHMBCCMKT01,577,61,2016-10-04 07:59:00,516,0.10571923743500866
BHMBCCMKT01,577,64,2016-10-04 08:25:00,513,0.11091854419410745
BHMBCCMKT01,577,80,2016-10-04 08:59:00,497,0.1386481802426343
BHMBCCMKT01,577,107,2016-10-04 09:32:00,470,0.1854419410745234
BHMBCCMKT01,577,150,2016-10-04 09:59:00,427,0.25996533795493937
BHMBCCMKT01,577,177,2016-10-04 10:26:00,400,0.30675909878682844
BHMBCCMKT01,577,219,2016-10-04 10:59:00,358,0.37954939341421146
BHMBCCMKT01,577,247,2016-10-04 11:25:00,330,0.42807625649913345
BHMBCCMKT01,577,259,2016-10-04 11:59:00,318,0.4488734835355286
BHMBCCMKT01,577,266,2016-10-04 12:29:00,311,0.4610051993067591
BHMBCCMKT01,577,269,2016-10-04 13:02:00,308,0.4662045060658579
BHMBCCMKT01,577,263,2016-10-04 13:29:00,314,0.4558058925476603
BHMBCCMKT01,577,238,2016-10-04 14:02:00,339,0.4124783362218371
BHMBCCMKT01,577,215,2016-10-04 14:29:00,362,0.37261698440207974
BHMBCCMKT01,577,192,2016-10-04 14:57:00,385,0.3327556325823224
BHMBCCMKT01,577,165,2016-10-04 15:30:00,412,0.28596187175043325
BHMBCCMKT01,577,162,2016-10-04 16:04:00,415,0.2807625649913345
BHMBCCMKT01,577,143,2016-10-04 16:31:00,434,0.24783362218370883
BHMBCCMKT01,577,54,2016-10-05 07:57:00,523,0.09358752166377816
BHMBCCMKT01,577,59,2016-10-05 08:30:00,518,0.1022530329289428
BHMBCCMKT01,577,71,2016-10-05 09:04:00,506,0.12305025996533796
BHMBCCMKT01,577,83,2016-10-05 09:30:00,494,0.1438474870017331
BHMBCCMKT01,577,114,2016-10-05 10:04:00,463,0.1975736568457539
BHMBCCMKT01,577,128,2016-10-05 10:30:00,449,0.2218370883882149
BHMBCCMKT01,577,148,2016-10-05 11:04:00,429,0.2564991334488735
BHMBCCMKT01,577,162,2016-10-05 11:30:00,415,0.2807625649913345
